date,TED,3M_shibor,7D_reporate,term_spread,credit_spread,SETBI_RealVolatility,INDI_RealVolatility,COMI_RealVolatility,INDI_CMAX,COMI_CMAX,INDI_illiquidity,COMI_illiquidity,180FINI_RealVolatility,180FINI_CMAX,180FINI_illiquidity,REI_RealVolatility,REI_CMAX,REI_illiquidity,USDCNY,1Y_NDF,risk_level
2006/10/8,1.235,0.0001612,2.2443,-0.9661 ,1.1516,0.000000327,0.0002609,0.0003315,0,0,0,0,0.0003461,0,0,0.0004721,0.02610097,0,0.0000024,8.25E-06,1
2006/10/9,1.23,0.0001606,2.2596,-0.9622 ,1.2426,0.000000246,0.0001928,0.0002498,0,0,0.000568196,0.010650474,0.000272,0,0.007181092,0.0003577,0.035617803,0.009698712,0.00000132,6.30E-06,1
2006/10/10,1.22,0.0000739,2.2491,-0.9496 ,1.2275,0.000000197,0.0001889,0.000283,0,0,0.000234035,0.001923132,0.0007907,0.008683157,0.002109324,0.0002907,0.070620294,0.028283517,0.000000903,4.84E-06,1
2006/10/11,1.215,0.000028,2.2455,-0.9297 ,1.2624,0.000000149,0.0001514,0.000219,0,0.000930674,0.000224364,0.000372437,0.0006571,0.008975028,0.000110499,0.0005251,0.067819157,0.004677647,0.000000768,3.56E-06,1
2006/10/12,1.21,0.00000523,2.2468,-0.9136 ,1.3744,0.000000205,0.0001201,0.0001658,0.005576659,0.012366406,1.64E-04,0.005261931,0.0005305,0.018758314,0.003668523,0.0004008,0.089876644,0.031501478,0.000000778,2.68E-06,1
2006/10/13,1.205,0.0000126,2.2478,-0.9122 ,1.3497,0.000000155,0.0000943,0.0001548,0.00559094,0.008783615,5.90165E-07,0.00169851,0.0004453,0.013476575,0.001750945,0.0004326,0.079000264,0.024314186,0.000000661,1.90E-06,1
2006/10/16,1.2,0.0001612,2.2992,-0.9189 ,1.3416,0.000000327,0.0002609,0.0003315,0.015480407,0.018844626,4.03E-04,0.005977215,0.0003461,0.021396377,0.004100494,0.0004721,0.044202877,6.10E-03,0.0000024,8.25E-06,1
2006/10/17,1.206,0.0000105,2.3913,-0.9175 ,1.3558,0.000000242,0.0002162,0.0002724,0.016865646,0.019702306,6.67147E-05,0.000582026,0.0002854,0.041838562,0.008608755,0.0006611,0.044050514,6.06242E-05,0.00000143,6.45E-06,1
2006/10/18,1.208,0.00000767,2.476,-0.9288 ,1.3547,0.000000301,0.0001596,0.0002057,0.005662344,0.006204493,0.000560077,0.010245565,0.0003095,0.010973221,0.013137636,0.0005055,0.020117788,0.013235114,0.00000102,4.90E-06,1
2006/10/19,1.0067,0.00000375,2.4958,-0.9443 ,1.3697,0.000000236,0.0001463,0.0001992,0,0.000231148,2.79E-04,0.003588094,0.0004314,0.012056511,0.000570261,0.0005177,0.022479416,0.00096387,0.000000783,3.58E-06,1
2006/10/20,1.215,0.00000385,2.4822,-0.9552 ,1.3823,0.000000202,0.0001172,0.0001594,0.002218196,0.006514717,9.26342E-05,0.004384078,0.0003432,0,0.007085369,0.0003949,0.026915526,0.00285412,0.000000653,2.72E-06,1
2006/10/23,1.218,0.0001612,2.4531,-0.9463 ,1.3887,0.000000327,0.0002609,0.0003315,0.01646886,0.029836311,0.000561069,0.013247294,0.0003461,0.029833984,0.011629097,0.0004721,0.052190219,0.017119026,0.0000024,8.25E-06,1
2006/10/24,1.24,0.00000266,2.4625,-0.9345 ,1.3876,0.000000267,0.0002411,0.0003754,0,0.017621976,1.27E-03,0.007026309,0.0004517,0.001028566,0.011553163,0.0005152,0.016349732,0.023932402,0.00000132,6.16E-06,1
2006/10/25,1.24,0.00000394,2.3677,-0.9478 ,1.3896,0.000000224,0.0003663,0.0003191,0,0.022044198,4.28868E-05,0.002560685,0.0005212,0,0.002229104,0.0006953,0.019648979,0.002064063,0.00000113,4.56E-06,1
2006/10/26,1.25,0.00000378,2.3116,-0.9309 ,1.3851,0.000000173,0.0002723,0.0002447,0.005203053,0.017323917,0.000247699,0.003355474,0.0004359,0,0.00293665,0.0005351,0.002531571,0.010404692,0.000000919,3.36E-06,1
2006/10/27,1.25,0.00000378,2.2972,-0.9349 ,1.3868,0.000000157,0.0002078,0.0001905,0.009518982,0.030395932,0.000171,0.009028243,0.0003952,0.025496734,0.005148988,0.0004721,0.010278649,0.006053794,0.00000105,4.48E-06,1
2006/10/30,1.25,0.0001612,2.3728,-0.9315 ,1.3825,0.000000327,0.0002609,0.0003315,0.006892813,0.047306216,0.000110633,0.010097073,0.0003461,0.034447426,0.00326888,0.0004721,0.018641038,0.007545221,0.0000024,8.25E-06,1
2006/10/31,1.25,0.0000028,2.4099,-0.9408 ,1.3812,0.000000254,0.0001944,0.0003183,0,0.040584682,0.000959022,0.005136535,0.0002894,0.021192161,0.004659539,0.0003747,0.007295848,0.009873812,0.00000197,6.16E-06,1
2006/11/1,1.25,0.00000386,2.4721,-0.9430 ,1.3801,0.000000194,0.0002491,0.0002517,0,0.039033559,5.53E-04,0.001133471,0.0002591,0.014144371,0.003093172,0.0003097,0.010448592,0.00228115,0.00000116,4.56E-06,1
2006/11/2,1.25,0.00000385,2.4837,-0.9370 ,1.2895,0.000000235,0.0002231,0.0001908,0,0.041405865,2.3783E-05,0.001739184,0.0002088,0.040774173,0.011417091,0.0002332,0.011175247,0.000707496,0.00000121,3.52E-06,1
